show;chapter;name_chapter;score
Planet Earth II;1.1;Islands;9.1
Planet Earth II;1.2;Mountains;8.5
Planet Earth II;1.3;Jungles;8.1
Planet Earth II;1.4;Deserts;8.0
Planet Earth II;1.5;Grasslands;7.8
Planet Earth II;1.6;Cities;8.1
Planet Earth II;1.7;A World of Wonder;4.4
Band of Brothers;1.1;Currahee;8.7
Band of Brothers;1.2;Day of Days;9.1
Band of Brothers;1.3;Carentan;9.0
Band of Brothers;1.4;Replacements;8.8
Band of Brothers;1.5;Crossroads;8.8
Band of Brothers;1.6;Bastogne;9.1
Band of Brothers;1.7;The Breaking Point;9.2
Band of Brothers;1.8;The Last Patrol;8.7
Band of Brothers;1.9;Why We Fight;9.3
Band of Brothers;1.10;Points;9.0
Planet Earth;1.1;From Pole to Pole;8.7
Planet Earth;1.2;Mountains;8.5
Planet Earth;1.3;Fresh Water;8.4
Planet Earth;1.4;Caves;8.4
Planet Earth;1.5;Deserts;8.3
Planet Earth;1.6;Ice Worlds;8.4
Planet Earth;1.7;Great Plains;8.3
Planet Earth;1.8;Jungles;8.3
Planet Earth;1.9;The Shallow Seas;8.3
Planet Earth;1.10;Seasonal Forests;8.3
Planet Earth;1.11;Ocean Deep;8.3
Game of Thrones;1.1;Winter Is Coming;9.0
Game of Thrones;1.2;The Kingsroad;8.8
Game of Thrones;1.3;Lord Snow;8.7
Game of Thrones;1.4;Cripples, Bastards, and Broken Things;8.8
Game of Thrones;1.5;The Wolf and the Lion;9.1
Game of Thrones;1.6;A Golden Crown;9.2
Game of Thrones;1.7;You Win or You Die;9.2
Game of Thrones;1.8;The Pointy End;9.0
Game of Thrones;1.9;Baelor;9.6
Game of Thrones;1.10;Fire and Blood;9.4
Game of Thrones;2.1;The North Remembers;8.8
Game of Thrones;2.2;The Night Lands;8.5
Game of Thrones;2.3;What Is Dead May Never Die;8.8
Game of Thrones;2.4;Garden of Bones;8.8
Game of Thrones;2.5;The Ghost of Harrenhal;8.8
Game of Thrones;2.6;The Old Gods and the New;9.0
Game of Thrones;2.7;A Man Without Honor;8.9
Game of Thrones;2.8;The Prince of Winterfell;8.8
Game of Thrones;2.9;Blackwater;9.7
Game of Thrones;2.10;Valar Morghulis;9.4
Game of Thrones;3.1;Valar Dohaeris;8.8
Game of Thrones;3.2;Dark Wings, Dark Words;8.6
Game of Thrones;3.3;Walk of Punishment;8.9
Game of Thrones;3.4;And Now His Watch Is Ended;9.5
Game of Thrones;3.5;Kissed by Fire;9.0
Game of Thrones;3.6;The Climb;8.8
Game of Thrones;3.7;The Bear and the Maiden Fair;8.7
Game of Thrones;3.8;Second Sons;9.0
Game of Thrones;3.9;The Rains of Castamere;9.9
Game of Thrones;3.10;Mhysa;9.1
Game of Thrones;4.1;Two Swords;9.1
Game of Thrones;4.2;The Lion and the Rose;9.7
Game of Thrones;4.3;Breaker of Chains;8.9
